channel_name,video_id,title,publish_date,duration_seconds,view_count,like_count,comment_count
Finance Bureau,_Qne3tvZUrk,Why Pax Silica Needs The Philippines,2026-07-16T16:24:30Z,57,26139,387,68
Finance Bureau,CTLUCIdWHG0,IS THE ERA OF FREE MONEY FINALLY ENDING?,2026-07-13T16:04:48Z,49,2323,53,2
Finance Bureau,e27zqWNIu9s,How They Bought YOUR Government,2026-07-07T16:00:37Z,981,6325,345,30
Finance Bureau,I6h3l9AsX3c,UK Workers Are Getting Taxed Harder,2026-07-05T14:00:34Z,37,1507,19,2
Finance Bureau,jfS1DrjUn5I,What's Really Happening in the UK,2026-06-30T16:00:02Z,842,13719,531,96
Finance Bureau,_xbIXPzsAYI,HOW MUSK PAYS LESS TAX,2026-06-29T14:00:28Z,40,1939,41,3
Finance Bureau,K6fPeZ2vzMA,The Trillionaire Era Begins and It's NOT GOOD,2026-06-26T16:00:08Z,996,8796,429,74
Finance Bureau,Vi-0hs1nwIU,The Fed is Making The 2008 Mistake Again.,2026-06-24T16:00:03Z,927,6019,336,37
Finance Bureau,yqLsNADVzak,The Rich Are Buying Escape Plans,2026-06-21T23:58:13Z,46,1416,60,3
Finance Bureau,sn6IWOOgFs0,Your Retirement Funds Are Not Safe,2026-06-12T14:00:28Z,62,1177,48,1
Finance Bureau,1yXXIOtlpbU,Britain's Youth Are Being Left Behind,2026-06-04T14:00:31Z,43,2371,46,3
Finance Bureau,psSpaYGTaTY,The UK Is Collapsing,2026-06-03T16:00:14Z,1026,73868,1560,321
Finance Bureau,_IiV53Lh1Sk,The OpenAI IPO Will CRASH The Market (Few Are Ready),2026-06-02T16:00:04Z,1080,20789,705,66
Finance Bureau,opj42osI8yI,AI’s Hidden Jobs Risk,2026-05-24T15:20:06Z,76,1354,49,0
Finance Bureau,T29HQtIvCfI,Is There Any GOLD Left in Fort Knox (You’ll Never Know),2026-05-23T16:00:29Z,1012,3757,252,27
Finance Bureau,9_vU4vMFIBc,Why The OpenAI Scandal Could COLLAPSE The AI Market,2026-05-16T16:00:10Z,1151,130197,3280,468
Finance Bureau,TMZLT_7UFsY,Why Switzerland Controls Migration Better,2026-05-16T15:04:22Z,75,1555,39,0
Finance Bureau,nBee5bZ83wY,Cartel Gold Hits America,2026-05-15T14:01:23Z,82,1400,43,1
Finance Bureau,8BTsjhz5usw,The Trump-Xi Summit Changes EVERYTHING!,2026-05-12T16:00:11Z,896,6702,382,39
Finance Bureau,5jP3SQElUng,AI’s $720B Question,2026-05-11T15:08:06Z,81,1318,53,0
Finance Bureau,ypcbAF4tbAE,Hollywood’s Sequel Problem,2026-05-09T14:01:39Z,55,970,22,2
Finance Bureau,dmtAgibVSYY,Europe’s NATO Wake-Up Call,2026-05-06T14:01:06Z,93,1214,34,5
Finance Bureau,xLpzfLlSbvU,"Iran Out, Turkey In?",2026-04-18T14:01:35Z,62,1350,42,0
Finance Bureau,9tB8YpsZiEo,The Wealth Illusion: How Real Estate Rigged the System,2026-04-14T16:00:17Z,750,14339,592,62
Finance Bureau,QBXql-VcRCM,Hungary’s Election Crisis: Will Your Money Be Safe?,2026-04-10T16:00:54Z,861,4945,303,57
Finance Bureau,FW3v8Q6X0jE,Russia’s War Economy Surge,2026-04-08T14:00:31Z,74,1140,23,0
Finance Bureau,CxGkJd1zX2M,The Weight Loss Drug Shock: Is Your Money at Risk?,2026-04-02T16:00:20Z,1273,7244,388,33
Finance Bureau,NDwmmzkEtGc,Larry Fink's 2026 Playbook: What He's Not Telling You,2026-04-01T16:00:22Z,1125,13042,543,17
Finance Bureau,GpHKcq92UAg,The $2M Tehran Toll Booth,2026-03-29T16:00:14Z,1132,14171,616,36
Finance Bureau,Zoz2oLumIag,Asia’s Oil Crisis Explained,2026-03-28T14:51:08Z,78,1439,42,3
Finance Bureau,7vipp1RfcFU,Asia’s Energy Crunch: The Hormuz Shock,2026-03-26T16:00:10Z,1184,13432,527,25
Finance Bureau,25SGs2o-RkE,How Oil Keeps the US Dollar on Top,2026-03-25T14:00:03Z,66,1783,46,2
Finance Bureau,ezbbs_82yTk,Hormuz Oil Shock: What’s Really Breaking,2026-03-21T16:00:52Z,1209,21938,735,67
Finance Bureau,_2KPFzXw6pY,Capital Gains Tax Change: Who Really Benefits?,2026-03-13T14:01:04Z,80,829,33,2
Finance Bureau,Vgoas7WxmFA,OnlyFans’ Microtransaction Economy,2026-03-07T15:09:10Z,79,2009,54,0
Finance Bureau,9y2XL04L3Tk,The Biggest Market Shift Nobody Is Talking About,2026-03-05T16:00:14Z,1310,22346,910,36
